Title,Abstract
IFaaSBus: A Security- and Privacy-Based Lightweight Framework for Serverless Computing Using IoT and Machine Learning,"As data of COVID-19 patients is increasing, the new framework is required to secure the data collected from various Internet of Things (IoT) devices and predict the trend of disease to reduce its spreading. This article proposes security- and privacy-based lightweight framework called iFaaSBus, which uses the concept of IoT, machine learning (ML), and function as a service (FaaS) or serverless computing to diagnose the COVID-19 disease and manages resources automatically to enable dynamic scalability. iFaaSBus offers OAuth-2.0 Authorization protocol-based privacy and JSON Web Token & Transport Layer Socket protocol-based security to secure the patient's health data. iFaaSBus outperforms response time compared to nonserverless computing while responding to up to 1100 concurrent requests. Further, the performance of various ML models is evaluated based on accuracy, precision, recall, F-score, and area under the curve (AUC) values, and the K-nearest neighbor model gives the highest accuracy rate of 97.51%. © 2005-2012 IEEE."
Reinforcement learning-assisted autoscaling mechanisms for serverless computing platforms,"Serverless computing is emerging as a cloud computing paradigm that provisions computing resources on demand, while billing is taking place based on the exact usage of the cloud resources. The responsibility for infrastructure management is undertaken by cloud providers, enabling developers to focus on the development of the business logic of their applications. For managing scalability, various autoscaling mechanisms have been proposed that try to optimize the provisioning of resources based on the posed workload. These mechanisms are configured and managed by the cloud provider, imposing non negligible administration overhead. A set of challenges are identified for introducing automation and optimizing the provisioning of resources, while in parallel respecting the agreed Service Level Agreement between cloud and application providers. To address these challenges, we have developed autoscaling mechanisms for serverless applications that are powered by Reinforcement Learning (RL) techniques. A set of RL environments and agents have been implemented (based on Q-learning, DynaQ+ and Deep Q-learning algorithms) for driving autoscaling mechanisms, able to autonomously manage dynamic workloads with Quality of Service (QoS) guarantees, while opting for efficient usage of resources. The produced environments and agents are evaluated in real and simulated environments, taking advantage of the Kubeless open-source serverless platform. The evaluation results validate the suitability of the proposed mechanisms to efficiently tackle scalability management for serverless applications. © 2022 Elsevier B.V."
Serverless Computing Approach for Deploying Machine Learning Applications in Edge Layer,"Serverless computing-a stateless cloud computing model, is an emerging solution that has shown significant benefits to efficiency and cost for event-driven applications in the cloud environment, including artificial intelligence (AI), machine learning applications. With serverless computing, the machine learning system's complexity is minimized, flexible and straightforward in management. However, operating and managing serverless machine learning services on clouds faces many limitations such as latency and data privacy. Local distributed edge computing nodes which are closed to users can address these challenges of cloud-serverless AI applications. Based on this motivation, in this paper, we propose an architecture for deploying machine learning workload as serverless functions in the edge environment. We illustrate our proposed approach and evaluate its performance and effectiveness by exploiting a holistic end-to-end image classifier, a famous machine learning use case in the MNIST dataset. Our proof of concept provides comprehensive assessments that prove its effectiveness in latency reduction and distributed machine learning deployment. © 2022 IEEE."
A Machine Learning-Based Approach for Efficient Cloud Service Selection,"Cloud computing can be considered a revolutionizing invention of decay. The computing resources are externally supplied to the user with benefits of scalability, accessibility, pay-as-you-go, serverless, etc. With its ever-growing market, there is a multitude of cloud service providers (CSPs) with different offerings available to small and medium enterprises (SMEs) or users. Due to the availability of numerous CSPs with different offerings, it becomes complicated for the user to pick the right services. In the presented paper, a supervised learning-based model based on Random Forest Regressor is proposed. The proposed model has been trained for Multi Criteria Decision Making Methods (MCDM) methods such as Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS), VlseKriterijumska Optimizacija I Kompromisno Resenje (VIKOR), and Weighted Sum Method (WSM). The score obtained from these MCDM methods has been used to rank the services. Results show the acceptability of the proposed model in the cloud environment. © 2022, Springer Nature Switzerland AG."
Federated Learning with Cooperating Devices: A Consensus Approach,"Federated learning (FL) is arising as another perspective to prepare AI models (machine learning) in conveyed frameworks. Rather than sharing and uncovering the readiness educational record with the specialist, the model limits (e.g., neural associations tendencies) progress in all things considered by very large masses of interconnections, appearing as neighborhood understudies. FL can be applied to control obligated Internet of Things (IoT) devices with moderate and conflicting affiliations. Also, it need not waste time with data to be exchanged with unusable matters, saving security. Despite these advantages, an essential restriction of existing systems is to merge improvements, which depends upon an expert for total and blend of nearby restricts; this has the weight of a solitary inspiration driving disappointment and scaling issues for developing association size. This article proposes a completely flowed (or serverless) learning approach: the proposed FL calculations sway the premium of gadgets that perform information practices inside the relationship by reiterating nearby assessments and standard relationships through plan-based procedures. The technique places the justification for the trade-off of FL inside 5G and past affiliations portrayed by the decentralized association and planning, with information flow over the end gadgets. The proposed methodology is checked by the exploratory instructive records collected inside an ndustrial IoT (IIoT) condition. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"Proceedings of the 8th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies, BDCAT 2021",The proceedings contain 15 papers. The topics discussed include: evaluating serverless architecture for big data enterprise applications; 3D object recognition for virtual reality based digital twins; linking user accounts across social media platforms; crowd counting using deep learning in edge devices; multiscale clustering based diffusion representation learning method; a proactive data-parallel framework for machine learning; distributed orchestration of regression models over administrative boundaries; attribute network embedding method based on joint clustering of representation and network; and comparative analysis of pre-trained deep neural networks for vision-based security systems on a novel dataset.
"Proceedings of the 7th International Workshop on Serverless Computing, WoSC 2021",The proceedings contain 7 papers. The topics discussed include: is function-as-a-service a good fit for latency-critical services?; BIAS Autoscaler: leveraging burstable instances for cost-effective autoscaling on cloud systems; implications of alternative serverless application control flow methods; beyond @cloudfunction: powerful code annotations to capture serverless runtime patterns; SFL: a compiler for generating stateful AWS lambda serverless applications; SLA for sequential serverless chains: a machine learning approach; and towards demystifying intra-function parallelism in serverless computing.
SLA for Sequential Serverless Chains: A Machine Learning Approach,"Despite its vast potential, a challenge facing serverless computing's wide-scale adoption is the lack of Service Level Agreements (SLAs) for serverless platforms. This challenge is compounded when composition technologies are employed to construct large applications using chains of functions. Due to the dependency of a chain's performance on each function forming it, a single function's sub-optimal performance can result in performance degradations of the entire chain. This paper sheds light on this problem and provides a categorical classification of the factors that impact a serverless function execution performance. We discuss the challenge of serverless chains' SLA and present the results of leveraging FaaS2F, our proposed serverless SLA framework, to define SLAs for fixed-size and variable-size sequential serverless chains. The validation results demonstrate high accuracy in detecting sub-optimal executions exceeding 79%. © 2021 ACM."
GNOSIS-query-driven multimodal event processing for unstructured data streams,"This paper presents GNOSIS, an event processing engine to detect complex event patterns over multimodal data streams. GNOSIS follows a query-driven approach where users can write complex event queries using Multimodal Event Processing Language (MEPL). The system models incoming multimodal data into an evolving Multimodal Event Knowledge Graph (MEKG) using an ensemble of deep neural network (DNN) and machine learning (ML) models and applies a neuro-symbolic approach for event matching. GNOSIS follows a serverless paradigm where its different components act as independent microservices and can be deployed across different nodes with optimized edge support. The paper demonstrates two multimodal use case queries from Occupational Health and Safety and Accessibility domain. © 2021 Owner/Author."
A TinyML Platform for On-Device Continual Learning with Quantized Latent Replays,"In the last few years, research and development on Deep Learning models & techniques for ultra-low-power devices- in a word, TinyML - has mainly focused on a train-then-deploy assumption, with static models that cannot be adapted to newly collected data without cloud-based data collection and fine-tuning. Latent Replay-based Continual Learning (CL) techniques (Pellegrini et al., 2020) enable online, serverless adaptation in principle, but so far they have still been too computation- and memory-hungry for ultra-low-power TinyML devices, which are typically based on microcontrollers. In this work, we introduce a HW/SW platform for end-to-end CL based on a 10-core FP32 -enabled parallel ultra-low-power (PULP) processor. We rethink the baseline Latent Replay CL algorithm, leveraging quantization of the frozen stage of the model and Latent Replays (LRs) to reduce their memory cost with minimal impact on accuracy. In particular, 8-bit compression of the LR memory proves to be almost lossless (-0.26% with 3000LR) compared to the full-precision baseline implementation, but requires 4times less memory, while 7-bit can also be used with an additional minimal accuracy degradation (up to 5%). We also introduce optimized primitives for forward and backward propagation on the PULP processor, together with data tiling strategies to fully exploit its memory hierarchy, while maximizing efficiency. Our results show that by combining these techniques, continual learning can be achieved in practice using less than 64MB of memory - an amount compatible with embedding in TinyML devices. On an advanced 22nm prototype of our platform, called VEGA, the proposed solution performs on average 65 times faster than a low-power STM32 L4 microcontroller, being 37times more energy efficient - enough for a lifetime of 535h when learning a new mini-batch of data once every minute. © 2011 IEEE."
