Computer Science?;English?;CP or Article?;Title;Admitted
FAUX;VRAI;FAUX;10th International Conference on Computer Science and its Applications, CSA 2018 and the 13th KIPS International Conference on Ubiquitous Information Technologies and Applications, CUTE 2018;FAUX
VRAI;VRAI;FAUX;12th Annual ACM Symposium on Cloud Computing, SoCC 2021;FAUX
VRAI;VRAI;FAUX;15th International Conference on Service-Oriented Computing, ICSOC 2017;FAUX
VRAI;VRAI;FAUX;17th International Conference on Web Engineering, ICWE 2017;FAUX
FAUX;VRAI;FAUX;1st EAGE Digital Subsurface Conference in Latin America;FAUX
VRAI;VRAI;FAUX;2021 ITU Kaleidoscope: Connecting Physical and Virtual Worlds, ITU K 2021;FAUX
VRAI;VRAI;FAUX;20th International Conference on Engineering Applications of Neural Networks, EANN 2019;FAUX
FAUX;FAUX;FAUX;21st century daily seamless data cube reconstruction and seasonal to annual land cover and land use dynamics mapping-iMap (China) 1.0 [21??????????????????????????????????-????????iMap (China) 1.0];FAUX
VRAI;VRAI;FAUX;4th International Conference on Smart Computing and Informatics, SCI 2020;FAUX
VRAI;VRAI;FAUX;7th International Congress on Big Data, BigData 2018 Held as Part of the Services Conference Federation, SCF 2018;FAUX
FAUX;VRAI;VRAI;A Cloud-Based Computing Framework for Artificial Intelligence Innovation in Support of Multidomain Operations;FAUX
VRAI;VRAI;VRAI;A cloud-based framework for machine learning workloads and applications;VRAI
VRAI;VRAI;VRAI;A conceptual framework for building a mobile services' recommendation engine;VRAI
VRAI;VRAI;VRAI;A Deep Intrusion Detection System in Lambda Architecture Based on Edge Cloud Computing for IoT;VRAI
VRAI;VRAI;VRAI;A machine hearing framework for real-time streaming analytics using lambda architecture;VRAI
VRAI;VRAI;VRAI;A machine learning model on virtual university of senegal’s educational data based on lambda architecture.;VRAI
VRAI;VRAI;VRAI;A Machine Learning-Based Approach for Efficient Cloud Service Selection;VRAI
VRAI;VRAI;VRAI;A migration-based approach to execute long-duration multi-cloud serverless functions;VRAI
VRAI;VRAI;VRAI;A Recurrent Neural Network Based Approach for Web Service QoS Prediction;VRAI
VRAI;VRAI;VRAI;A Scalable Cloud-based Architecture to Deploy JupyterHub for Computational Social Science Research;VRAI
VRAI;VRAI;VRAI;A serverless gateway for event-driven machine learning inference in multiple clouds;VRAI
FAUX;VRAI;VRAI;A TinyML Platform for On-Device Continual Learning with Quantized Latent Replays;FAUX
VRAI;VRAI;VRAI;A Unified Framework for 5G Network Management Tools;VRAI
VRAI;VRAI;VRAI;Accelerated serverless computing based on GPU virtualization;VRAI
VRAI;VRAI;VRAI;Adaptive and Efficient Streaming Time Series Forecasting with Lambda Architecture and Spark;VRAI
VRAI;VRAI;VRAI;AI on the Move: From On-Device to On-Multi-Device;VRAI
VRAI;VRAI;VRAI;AMPS-Inf: Automatic Model Partitioning for Serverless Inference with Cost Efficiency;VRAI
FAUX;VRAI;VRAI;An efficient distributed data processing method for smart environment;FAUX
FAUX;VRAI;VRAI;An efficient distributed data processing method for smooth environment;FAUX
