Status,Authors,Title,Year
ACCEPTED,"Lopez Garcia A., Tran V., Alic A.S., Caballer M., Plasencia I.C., Costantini A., Dlugolinsky S., Duma D.C., Donvito G., Gomes J., Heredia Cacha I., De Lucas J.M., Ito K., Kozlov V.Y., Nguyen G., Orviz Fernandez P., Sustr Z., Wolniewicz P., Antonacci M., Zu Castell W., David M., Hardt M., Lloret Iglesias L., Molto G., Plociennik M.",A cloud-based framework for machine learning workloads and applications,2020
REJECTED,"Ganchev I., Ji Z., O'Droma M.",A conceptual framework for building a mobile services' recommendation engine,2016
REJECTED,"Alghamdi R., Bellaiche M.",A Deep Intrusion Detection System in Lambda Architecture Based on Edge Cloud Computing for IoT,2021
REJECTED,"Demertzis K., Iliadis L., Anezakis V.-D.",A machine hearing framework for real-time streaming analytics using lambda architecture,2019
REJECTED,"Gueye S.M., Diop A., Gueye A.D.",A machine learning model on virtual university of senegal’s educational data based on lambda architecture.,2020
ACCEPTED,"Gandhi U., Bothera A., Garg N., Neeraj, Gupta I.",A Machine Learning-Based Approach for Efficient Cloud Service Selection,2022
ACCEPTED,"Soltani B., Ghenai A., Zeghib N.",A migration-based approach to execute long-duration multi-cloud serverless functions,2018
REJECTED,"Chen D., Gao M., Liu A., Chen M., Zhang Z., Feng Y.",A Recurrent Neural Network Based Approach for Web Service QoS Prediction,2019
REJECTED,"Li D., Pyke R., Jiang R.",A Scalable Cloud-based Architecture to Deploy JupyterHub for Computational Social Science Research,2021
ACCEPTED,"Naranjo D.M., Risco S., Moltó G., Blanquer I.",A serverless gateway for event-driven machine learning inference in multiple clouds,2021
REJECTED,"Nurminen J.K., Mfula H.",A Unified Framework for 5G Network Management Tools,2019
ACCEPTED,"Naranjo D.M., Risco S., de Alfonso C., Pérez A., Blanquer I., Moltó G.",Accelerated serverless computing based on GPU virtualization,2020
ACCEPTED,"Pandya A., Odunsi O., Liu C., Cuzzocrea A., Wang J.",Adaptive and Efficient Streaming Time Series Forecasting with Lambda Architecture and Spark,2020
ACCEPTED,"Flores H., Nurmi P., Hui P.",AI on the Move: From On-Device to On-Multi-Device,2019
ACCEPTED,"Jarachanthan J., Chen L., Xu F., Li B.",AMPS-Inf: Automatic Model Partitioning for Serverless Inference with Cost Efficiency,2021
ACCEPTED,"Wen J., Chen Z., Liu Y., Lou Y., Ma Y., Huang G., Jin X., Liu X.",An empirical study on challenges of application development in serverless computing,2021
REJECTED,"Yuvaraj N., Karthikeyan T., Praghash K.",An Improved Task Allocation Scheme in Serverless Computing Using Gray Wolf Optimization (GWO) Based Reinforcement Learning (RIL) Approach,2021
REJECTED,"Patel V., Kanani S., Pathak T., Patel P., Ali M.I., Breslin J.",An Intelligent Doorbell Design Using Federated Deep Learning,2020
REJECTED,"Najada H.A., Mahgoub I.",Anticipation and alert system of congestion and accidents in VANET using Big Data analysis for Intelligent Transportation Systems,2017
REJECTED,"Choudhari N.V., Sasankar A.B.",Architectural vision of cloud computing in the indian government,2021
REJECTED,"Meurisch C., Bayrak B., Muhlhauser M.",AssistantGraph: An approach for reusable and composable data-driven assistant components,2019
ACCEPTED,"Kaplunovich A., Yesha Y.",Automatic Hyperparameter Optimization for Arbitrary Neural Networks in Serverless AWS Cloud,2021
